Step,Hour,Action,Reward,Budget
936,15시,0,-0.21,0
937,16시,0,-0.24,0
938,17시,0,1.74,0
939,18시,0,0.74,0
940,19시,0,-0.3,0
941,20시,0,-0.3,0
942,21시,0,-0.34,0
943,22시,0,-0.28,1
944,23시,0,-0.3,1
945,5시,0,-0.31,1
946,6시,4,1.66,0
947,7시,7,-5.37,0
948,8시,0,1.64,0
949,9시,0,-0.39,0
950,10시,0,-0.43,0
951,11시,0,1.65,0
952,12시,6,-2.24,0
953,13시,0,-0.2,0
954,14시,0,-0.22,0
955,15시,0,-0.2,0
956,16시,0,0.87,0
957,17시,0,-0.15,0
958,18시,0,-0.18,0
959,19시,0,-0.2,0
960,20시,0,1.77,0
961,21시,0,-0.26,0
962,22시,0,-0.29,0
963,23시,0,-0.32,0
964,5시,9,-0.36,0
965,6시,7,-5.39,0
966,7시,7,-4.42,0
967,8시,7,-5.4,0
968,9시,7,-5.41,0
969,10시,0,-0.44,0
970,11시,0,-0.46,0
971,12시,0,5.5,0
972,13시,0,1.47,0
973,14시,0,-0.48,0
974,15시,0,-0.51,0
975,16시,0,-0.54,1
976,17시,0,-0.59,1
977,18시,0,0.42,1
978,19시,0,-0.64,1
979,20시,0,-0.67,1
980,21시,0,0.36,1
981,22시,0,-0.62,1
982,23시,0,0.44,1
983,5시,0,-0.48,1
984,6시,7,-5.52,1
985,7시,7,-5.56,1
986,8시,0,-0.6,1
987,9시,0,2.35,1
988,10시,0,-0.49,1
989,11시,0,0.47,1
990,12시,0,-0.57,1
991,13시,0,-0.62,1
992,14시,0,-0.64,1
993,15시,0,-0.68,1
994,16시,0,-0.74,2
995,17시,0,-0.79,2
996,18시,0,-0.84,2
997,19시,0,0.11,2
998,20시,0,1.05,2
999,21시,0,0.99,2
1000,22시,0,-1.02,2
